fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,google.com,216.58.210.14,2a00:1450:4001:805::200e,alt1.aspmx.l.google.com,ns1.google.com,United States,,,80
Addition,googlea.com,184.168.221.17,,mailstore1.secureserver.net,ns17.domaincontrol.com,United States,,,0
Addition,googleb.com,116.212.117.220,,,dns1.iidns.com,Hong Kong,,,
Addition,googlec.com,58.76.184.4,,,ns1.doregi.com,Korea,,,0
Addition,googled.com,98.124.199.104,,,dns1.name-services.com,United States,,,0
Addition,googlee.com,46.134.193.20,2a00:1450:4001:81a::2004,,ns1.google.com,Poland,,,
Addition,googlef.com,,,,ns1.googledomains.com,,,,
Addition,googleg.com,98.124.199.120,,,dns1.name-services.com,United States,,,0
Addition,googleh.com,141.8.230.20,,,ns1.dsredirection.com,Switzerland,,,0
Addition,googlei.com,199.59.243.120,,,ns1.bodis.com,United States,,,0
Addition,googlej.com,54.235.212.68,,mail.googlej.com,ns1.pql.net,United States,,,0
Addition,googlek.com,127.0.0.1,,,ns1.sedoparking.com,,,,
Addition,googlel.com,,,,ns1.googledomains.com,,,,
Addition,googlem.com,98.124.199.91,,,dns1.name-services.com,United States,,,0
Addition,googlen.com,158.69.143.112,,,ns1.rentondc.com,Canada,,,0
Addition,googleo.com,95.211.219.67,,,ns1.hastydns.com,Netherlands,,,0
Addition,googlep.com,54.235.212.68,,mail.googlep.com,ns1.pql.net,United States,,,0
Addition,googleq.com,127.0.0.1,,,ns1.sedoparking.com,,,,
Addition,googler.com,,,,ns1.googledomains.com,,,,
Addition,googles.com,23.229.234.162,,mailstore1.secureserver.net,ns21.domaincontrol.com,United States,,,0
Addition,googlet.com,5.135.193.113,,,ns1.redmonddc.com,France,,,0
Addition,googleu.com,54.221.207.100,,null.invalid.mx,ns3.domainmanager.com,United States,,,0
Addition,googlev.com,,,,ns1.googledomains.com,,,,
Addition,googlew.com,98.124.199.73,,,dns1.name-services.com,United States,,,0
Addition,googlex.com,,,,ns1.googledomains.com,,,,
Addition,googley.com,,,,,,,,
Addition,googlez.com,,,,,,,,
Bitsquatting,foogle.com,64.111.126.107,,ALT1.ASPMX.L.GOOGLE.com,ns1.dreamhost.com,United States,,,0
Bitsquatting,eoogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,coogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ooogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,woogle.com,98.124.199.11,,,dns1.name-services.com,United States,,,0
Bitsquatting,gnogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gmogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gkogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ggogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gongle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gomgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gokgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goggle.com,138.68.58.45,,exchange.dewile.net,ns3.domainmanager.com,United States,,,0
Bitsquatting,goofle.com,192.185.39.34,,mail.goofle.com,ns8197.hostgator.com,United States,,,0
Bitsquatting,gooele.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goocle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gooole.com,98.124.199.61,,,dns1.name-services.com,United States,,,0
Bitsquatting,goowle.com,,,,,,,,
Bitsquatting,googme.com,199.59.243.120,,,ns1.bodis.com,United States,,,0
Bitsquatting,googne.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googhe.com,199.59.243.120,,,ns1.bodis.com,United States,,,0
Bitsquatting,googde.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googld.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlg.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googla.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlm.com,117.25.129.27,,,ns1.cnspeed.com,China,,,
Bitsquatting,googlu.com,,,,ns1.googledomains.com,,,,
Homoglyph,xn--oogle-zyf.com,,,,,,,,
Homoglyph,xn--ggle-0nda.com,,,,,,,,
Homoglyph,g00gle.com,,,,ns1.googledomains.com,,,,
Homoglyph,qooqle.com,95.211.219.66,,,ns1.hastydns.com,Netherlands,,,0
Homoglyph,xn--ggle-0nda.com,,,,,,,,
Homoglyph,xn--googl-lsa.com,104.28.30.121,2400:cb00:2048:1::681c:1e79,,hugh.ns.cloudflare.com,United States,,,0
Homoglyph,xn--gogle-jye.com,,,,ns1.googledomains.com,,,,
Homoglyph,xn--googl-fsa.com,185.53.179.8,,mail.h-email.net,ns1.parkingcrew.net,Germany,,,0
Homoglyph,xn--gogle-kye.com,,,,ns1.googledomains.com,,,,
Homoglyph,xn--ggle-vifa.com,,,,,,,,
